Row Labels,Sum of total_confirmed_cases
0,76606
1,253466
2,214734
3,193458
4,183318
5,160430
6,154918
7,172638
8,210700
9,228420
10,296184
11,480594
12,745962
13,1031580
14,1752308
15,2869332
16,4359222
17,5222704
18,5538716
19,4829870
20,3773008
21,2830134
22,1959162
23,1411332
24,1064894
25,937790
26,913230
27,935886
28,993054
29,1150860
30,1296690
31,1357342
32,1391190
33,1371620
34,1533556
35,1729400
36,1771026
37,1722538
38,1593156
39,1436396
40,1287532
41,1111412
42,958854
43,834356
44,673434
45,615462
46,561946
47,594262
48,502980
49,425702
50,348558
51,313466
52,195836
Grand Total,68571224
